tenant_code,campus_code,department_code,program_code,academic_year_code,term_code,course_code,section_code,room,schedule_text,status
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,A132-ITAPPS,AB ENG-LANG 1-AB1_ENGLANG,206,T/TH 07:30AM-10:00AM/07:30AM-10:00AM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,EC121-HISEL,AB ENG-LANG 1-AB1_ENGLANG,FH-201,M/W 04:00PM-05:30PM/04:00PM-05:30PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,EC122-TLLA,AB ENG-LANG 1-AB1_ENGLANG,TBA,T/TH 02:30PM-04:00PM/02:30PM-04:00PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,GE105-MATH,AB ENG-LANG 1-AB1_ENGLANG,FH-201,M/W 01:00PM-02:30PM/01:00PM-02:30PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,GE122-HIST,AB ENG-LANG 1-AB1_ENGLANG,TBA,S 03:00PM-06:00PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,GE122-PATHFIT2,AB ENG-LANG 1-AB1_ENGLANG,TBA,S 01:00PM-03:00PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,GE125-PIID,AB ENG-LANG 1-AB1_ENGLANG,FH-201,T/TH 10:30AM-12:00PM/10:30AM-12:00PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,LTS2,AB ENG-LANG 1-AB1_ENGLANG,TBA,S 08:00AM-11:00AM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,EC212-PHILENG,AB ENG-LANG 2-AB2_ENGLANG,FH-203,M/W 07:00PM-08:30PM/07:00PM-08:30PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,EC222-ILSC,AB ENG-LANG 2-AB2_ENGLANG,TBA,T/TH 04:00PM-05:30PM/04:00PM-05:30PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,EC223-ENGSYN,AB ENG-LANG 2-AB2_ENGLANG,FH-203,M/W 04:00PM-05:30PM/04:00PM-05:30PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,EC224-LLT,AB ENG-LANG 2-AB2_ENGLANG,FH-202,M/W 01:00PM-02:30PM/01:00PM-02:30PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,EC225-SOE,AB ENG-LANG 2-AB2_ENGLANG,FH-204,T/TH 02:30PM-04:00PM/02:30PM-04:00PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,EC316-STYLIS,AB ENG-LANG 2-AB2_ENGLANG,FH-203,M/W 05:30PM-07:00PM/05:30PM-07:00PM,OPEN
NCBA,NCBA-02,COLLEGE,,2025-2026,2ND,GE222-PATHFIT4,AB ENG-LANG 2-AB2_ENGLANG,TBA,TH 10:00AM-12:00PM,OPEN
