tenant_code,campus_code,department_code,course_code,course_title,units,course_type,default_base_value,is_active
NCBA,,,AE411-ACR,Accountancy Research,3,,50,TRUE
NCBA,,,AE312-BUSCOM,Accounting for Business Combination,3,,50,TRUE
NCBA,,,AE104-ABO,Accounting for Business Organization,3,,50,TRUE
NCBA,,,BA212-ABO,Accounting for Business Organization,3,,50,TRUE
NCBA,,,AE316-ABO-PC,Accounting for Business Organization - Partnership and Corporation,3,,50,TRUE
NCBA,,,A221-ACGN,Accounting for Government and Non-Profit Organizations,3,,50,TRUE
NCBA,,,AE221-ACGN,Accounting for Government and Non-Profit Organizations,4,,50,TRUE
NCBA,,,AE222-ACST,Accounting for Special Transactions,3,,50,TRUE
NCBA,,,AE211-AIS,Accounting Information System,3,,50,TRUE
NCBA,,,AE215-AIS,Accounting Information System,3,,50,TRUE
NCBA,,,AE412-ACI,Accounting Internship,3,,50,TRUE
NCBA,,,AE321-ARM,Accounting Research Methods,3,,50,TRUE
NCBA,,,AE4110-ARM,Accounting Research Methods,3,,50,TRUE
NCBA,,,HR211-AOM,Administrative and Office Management,4,,50,TRUE
NCBA,,,IS211-SAP,Advanced Accounting For IS (SAP),3,,50,TRUE
NCBA,,,MM321-ADVERT,Advertising,,,50,TRUE
NCBA,,,CS221-ALGO,Algorithms and Complexity,4,,50,TRUE
NCBA,,,ES122-CHEM2,Analytical Chemistry,3,,50,TRUE
NCBA,,,HM213-FLO,Analytics Tools And Techniques,3,,50,TRUE
NCBA,,,ES324-AP,Anatomy and Physiology,6,,50,TRUE
NCBA,,,CC022-APPDEV,Application Development & Emerging Technologies,3,,50,TRUE
NCBA,,,HM221-ABTT,Applied Business Tools and Technologies (PMS) with Laboratory,3,,50,TRUE
NCBA,,,CS311-ARCHIORG,Architecture and Organization,3,,50,TRUE
NCBA,,,GE100-AA,Art Appreciation,3,,50,TRUE
NCBA,,,GE215-AMS,"Art, Man and Society",3,,50,TRUE
NCBA,,,HM321-AC,Asian Cuisine (Elective 4),3,,50,TRUE
NCBA,,,HM327-ELECT6,Asian Cuisine (Elective 6),3,,50,TRUE
NCBA,,,ED311-AL1,Assessment in Learning 1,3,,50,TRUE
NCBA,,,ED322-AL2,Assessment in Learning 2,3,,50,TRUE
NCBA,,,ES311-ASTRO,Astronomy,3,,50,TRUE
NCBA,,,AE314-AAP,Auditing and Assurance Principles,3,,50,TRUE
NCBA,,,AE313-ACA1,Auditing and Assurance: Concepts and Applications 1,3,,50,TRUE
NCBA,,,AE322-ACA2,Auditing and Assurance: Concepts and Applications 2,3,,50,TRUE
NCBA,,,AE323-AASI,Auditing and Assurance: Specialized Industries,,,50,TRUE
NCBA,,,AE315-CIS,Auditing in CIS Environment,3,,50,TRUE
NCBA,,,CS312-ATFL,Automata Theory and Formal Languages,3,,50,TRUE
NCBA,,,FM221-BAFI,Banking and Financial Institutions,3,,50,TRUE
NCBA,,,HM216-BARBEV,Bar and Beverage Management with Laboratory (Elective 2),3,,50,TRUE
NCBA,,,BA112-BASFIN,Basic Finance,3,,50,TRUE
NCBA,,,BA101-BM,Basic Microeconomics,3,,50,TRUE
NCBA,,,ES221-BIO,Biochemistry,3,,50,TRUE
NCBA,,,HM211-BAP,Bread and Pastry,6,,50,TRUE
NCBA,,,HM215-ELECT1,Bread and Pastry (Elective 1),3,,50,TRUE
