Block Section,Section,Subject,Schedule,Room
AB1_ENGLANG,AB ENG-LANG 1-AB1_ENGLANG,A132-ITAPPS,T/TH 07:30AM-10:00AM/07:30AM-10:00AM,206
AB1_ENGLANG,AB ENG-LANG 1-AB1_ENGLANG,EC121-HISEL,M/W 04:00PM-05:30PM/04:00PM-05:30PM,FH-201
AB1_ENGLANG,AB ENG-LANG 1-AB1_ENGLANG,EC122-TLLA,T/TH 02:30PM-04:00PM/02:30PM-04:00PM,TBA
AB1_ENGLANG,AB ENG-LANG 1-AB1_ENGLANG,GE105-MATH,M/W 01:00PM-02:30PM/01:00PM-02:30PM,FH-201
AB1_ENGLANG,AB ENG-LANG 1-AB1_ENGLANG,GE122-HIST,S 03:00PM-06:00PM,TBA
AB1_ENGLANG,AB ENG-LANG 1-AB1_ENGLANG,GE122-PATHFIT2,S 01:00PM-03:00PM,TBA
AB1_ENGLANG,AB ENG-LANG 1-AB1_ENGLANG,GE125-PIID,T/TH 10:30AM-12:00PM/10:30AM-12:00PM,FH-201
AB1_ENGLANG,AB ENG-LANG 1-AB1_ENGLANG,LTS2,S 08:00AM-11:00AM,TBA
AB2_ENGLANG,AB ENG-LANG 2-AB2_ENGLANG,EC212-PHILENG,M/W 07:00PM-08:30PM/07:00PM-08:30PM,FH-203
AB2_ENGLANG,AB ENG-LANG 2-AB2_ENGLANG,EC222-ILSC,T/TH 04:00PM-05:30PM/04:00PM-05:30PM,TBA
AB2_ENGLANG,AB ENG-LANG 2-AB2_ENGLANG,EC223-ENGSYN,M/W 04:00PM-05:30PM/04:00PM-05:30PM,FH-203
AB2_ENGLANG,AB ENG-LANG 2-AB2_ENGLANG,EC224-LLT,M/W 01:00PM-02:30PM/01:00PM-02:30PM,FH-202
AB2_ENGLANG,AB ENG-LANG 2-AB2_ENGLANG,EC225-SOE,T/TH 02:30PM-04:00PM/02:30PM-04:00PM,FH-204
AB2_ENGLANG,AB ENG-LANG 2-AB2_ENGLANG,EC316-STYLIS,M/W 05:30PM-07:00PM/05:30PM-07:00PM,FH-203
AB2_ENGLANG,AB ENG-LANG 2-AB2_ENGLANG,GE222-PATHFIT4,TH 10:00AM-12:00PM,TBA
AB3_ENGLANG,AB ENG-LANG 3-AB3_ENGLANG,EC312-FL2,M/W 10:30AM-12:00PM/10:30AM-12:00PM,FH-202
AB3_ENGLANG,AB ENG-LANG 3-AB3_ENGLANG,EC324-LANJOUR,T/TH 02:30PM-04:00PM/02:30PM-04:00PM,FH-206
AB3_ENGLANG,AB ENG-LANG 3-AB3_ENGLANG,EC327-IPELS,M/W 01:00PM-02:30PM/01:00PM-02:30PM,FH-204
AB3_ENGLANG,AB ENG-LANG 3-AB3_ENGLANG,EC412-LR2,T/TH 04:00PM-05:30PM/04:00PM-05:30PM,TBA
AB3_ENGLANG,AB ENG-LANG 3-AB3_ENGLANG,EC427-LAP,T/TH 05:30PM-07:00PM/05:30PM-07:00PM,FH-205
AB4_ENGLANG,AB ENG-LANG 4-AB4_ENGLANG,EC322-LAADV,T/TH 09:00AM-10:30AM/09:00AM-10:30AM,FH-202
AB4_ENGLANG,AB ENG-LANG 4-AB4_ENGLANG,EC324-LANJOUR,T/TH 02:30PM-04:00PM/02:30PM-04:00PM,TBA
AB4_ENGLANG,AB ENG-LANG 4-AB4_ENGLANG,EC421-LAMED,T/TH 10:30AM-12:00PM/10:30AM-12:00PM,FH-202
BEED1,BEEd 1-BEED1,ED121-FLCT,S 12:00PM-03:00PM,FH-201
BEED1,BEEd 1-BEED1,EL121-EPP,T/TH 02:30PM-04:00PM/02:30PM-04:00PM,FH-201
BEED1,BEEd 1-BEED1,EL122-GMRC,T/TH 01:00PM-02:30PM/01:00PM-02:30PM,FH-201
BEED1,BEEd 1-BEED1,GE105-MATH,M/W 09:00AM-10:30AM/09:00AM-10:30AM,FH-201
BEED1,BEEd 1-BEED1,GE122-HIST,M/W 10:30AM-12:00PM/10:30AM-12:00PM,FH-201
BEED1,BEEd 1-BEED1,GE122-PATHFIT2,M 01:00PM-03:00PM,G-301
BEED1,BEEd 1-BEED1,GE125-PIID,M/W 07:30AM-09:00AM/07:30AM-09:00AM,FH-201
BEED1,BEEd 1-BEED1,LTS2,S 08:00AM-11:00AM,TBA
BEED2,BEEd 2-BEED2,EL221-CPMT,M/W 04:00PM-05:30PM/04:00PM-05:30PM,FH-204
BEED2,BEEd 2-BEED2,EL222-PFE2,T/TH 01:00PM-02:30PM/01:00PM-02:30PM,FH-204
BEED2,BEEd 2-BEED2,EL223-TMIG,M/W 01:00PM-02:30PM/01:00PM-02:30PM,FH-203
BEED2,BEEd 2-BEED2,EL224-TEEG,M/W 05:30PM-07:00PM/05:30PM-07:00PM,FH-204
BEED2,BEEd 2-BEED2,EL225-TAEG,M/W 02:30PM-04:00PM/02:30PM-04:00PM,FH-203
BEED2,BEEd 2-BEED2,EL226-TSEG,T/TH 02:30PM-04:00PM/02:30PM-04:00PM,FH-205
BEED2,BEEd 2-BEED2,EL2274-TSSEG,T/TH 04:00PM-05:30PM/04:00PM-05:30PM,FH-204
BEED2,BEEd 2-BEED2,GE222-PATHFIT4,TH 10:00AM-12:00PM,TBA
BEED3,BEEd 3-BEED3,ED321-BENL,M/W 02:30PM-04:00PM/02:30PM-04:00PM,TBA
BEED3,BEEd 3-BEED3,ED322-AL2,S 08:00AM-11:00AM,TBA
BEED3,BEEd 3-BEED3,EL321-EPPE,M/W 04:00PM-05:30PM/04:00PM-05:30PM,FH-206
BEED3,BEEd 3-BEED3,EL322-ELECT,T/TH 02:30PM-04:00PM/02:30PM-04:00PM,FH-208
BEED3,BEEd 3-BEED3,EL323-RE,T/TH 04:00PM-05:30PM/04:00PM-05:30PM,TBA
BEED3,BEEd 3-BEED3,EL324-TPEHE,M/W 01:00PM-02:30PM/01:00PM-02:30PM,FH-205
BEED3,BEEd 3-BEED3,EL325-TSEG,T/TH 05:30PM-07:00PM/05:30PM-07:00PM,FH-206
BEED4,BEEd 4-BEED4,ED421-INTERN,M/W 06:00PM-09:00PM/06:00PM-09:00PM,FH-201
BSA_1A,BSA 1-BSA_1A,A132-ITAPPS,M/W 01:30PM-04:00PM/01:30PM-04:00PM,206
BSA_1A,BSA 1-BSA_1A,AE100-CFAS,M/W 10:30AM-12:00PM/10:30AM-12:00PM,301
BSA_1A,BSA 1-BSA_1A,AE123-LOC,T/TH 05:30PM-07:00PM/05:30PM-07:00PM,301
BSA_1A,BSA 1-BSA_1A,GE100-AA,M/W 09:00AM-10:30AM/09:00AM-10:30AM,301
BSA_1A,BSA 1-BSA_1A,GE122-HIST,T/TH 01:00PM-02:30PM/01:00PM-02:30PM,301
BSA_1A,BSA 1-BSA_1A,GE122-PATHFIT2,T 10:00AM-12:00PM,G-301
BSA_1A,BSA 1-BSA_1A,GE125-PIID,T/TH 04:00PM-05:30PM/04:00PM-05:30PM,301
BSA_1A,BSA 1-BSA_1A,GE214-RIZAL,M/W 07:30AM-09:00AM/07:30AM-09:00AM,301
BSA_1A,BSA 1-BSA_1A,LTS2,S 08:00AM-11:00AM,QUAD
BSA_1A_ITAPPS,BSA 1-BSA_1A_ITAPPS,A132-ITAPPS,M/W 01:30PM-04:00PM/01:30PM-04:00PM,208
BSA_1B,BSA 1-BSA_1B,A132-ITAPPS,M/W 07:30AM-10:00AM/07:30AM-10:00AM,206
BSA_1B,BSA 1-BSA_1B,AE100-CFAS,M/W 01:00PM-02:30PM/01:00PM-02:30PM,302
BSA_1B,BSA 1-BSA_1B,AE123-LOC,T/TH 07:00PM-08:30PM/07:00PM-08:30PM,301
BSA_1B,BSA 1-BSA_1B,GE100-AA,M/W 10:30AM-12:00PM/10:30AM-12:00PM,301
BSA_1B,BSA 1-BSA_1B,GE122-HIST,T/TH 04:00PM-05:30PM/04:00PM-05:30PM,302
BSA_1B,BSA 1-BSA_1B,GE122-PATHFIT2,TH 01:00PM-03:00PM,G-301
BSA_1B,BSA 1-BSA_1B,GE125-PIID,M/W 02:30PM-04:00PM/02:30PM-04:00PM,302
BSA_1B,BSA 1-BSA_1B,GE214-RIZAL,T/TH 10:30AM-12:00PM/10:30AM-12:00PM,301
BSA_1B,BSA 1-BSA_1B,LTS2,S 08:00AM-11:00AM,TBA
BSA_1B_ITAPPS,BSA 1-BSA_1B_ITAPPS,A132-ITAPPS,M/W 07:30AM-10:00AM/07:30AM-10:00AM,208
BSA_1C,BSA 1-BSA_1C,A132-ITAPPS,T/TH 01:30PM-04:00PM/01:30PM-04:00PM,206
BSA_1C,BSA 1-BSA_1C,AE100-CFAS,M/W 02:30PM-04:00PM/02:30PM-04:00PM,302
BSA_1C,BSA 1-BSA_1C,AE123-LOC,T/TH 05:30PM-07:00PM/05:30PM-07:00PM,302
BSA_1C,BSA 1-BSA_1C,GE100-AA,M/W 01:00PM-02:30PM/01:00PM-02:30PM,302
BSA_1C,BSA 1-BSA_1C,GE122-HIST,T/TH 10:30AM-12:00PM/10:30AM-12:00PM,302
BSA_1C,BSA 1-BSA_1C,GE122-PATHFIT2,W 08:00AM-10:00AM,G-301
BSA_1C,BSA 1-BSA_1C,GE125-PIID,M/W 10:30AM-12:00PM/10:30AM-12:00PM,303
BSA_1C,BSA 1-BSA_1C,GE214-RIZAL,M/W 04:00PM-05:30PM/04:00PM-05:30PM,302
BSA_1C,BSA 1-BSA_1C,LTS2,S 08:00AM-11:00AM,TBA
BSA_1C_ITAPPS,BSA 1-BSA_1C_ITAPPS,A132-ITAPPS,T/TH 01:30PM-04:00PM/01:30PM-04:00PM,208
BSA_1D,BSA 1-BSA_1D,A132-ITAPPS,T/TH 10:00AM-12:30PM/10:00AM-12:30PM,206
BSA_1D,BSA 1-BSA_1D,AE100-CFAS,M/W 04:00PM-05:30PM/04:00PM-05:30PM,303
BSA_1D,BSA 1-BSA_1D,AE123-LOC,T/TH 07:00PM-08:30PM/07:00PM-08:30PM,302
BSA_1D,BSA 1-BSA_1D,GE100-AA,M/W 01:00PM-02:30PM/01:00PM-02:30PM,303
